readID	seqID	taxID	score	2ndBestScore	hitLength	queryLength	numMatches
M02810:197:000000000-AV55U:1:1101:15316:8461	cid|1747	1747	1892	0	103	135	1
M02810:197:000000000-AV55U:1:1101:15563:3249	cid|161879	161879	18496	0	151	151	1
M02810:197:000000000-AV55U:1:1101:19743:5166	cid|564	564	10404	10404	117	151	2
M02810:197:000000000-AV55U:1:1101:19743:5166	cid|562	562	10404	10404	117	151	2
M02810:197:000000000-AV55U:1:1102:10051:8232	cid|562	562	1089	0	48	48	1
M02810:197:000000000-AV55U:1:1103:12392:16086	cid|180282	180282	6464	100	118	147	1
M02810:197:000000000-AV55U:1:1103:14345:16751	cid|573	573	64	0	23	151	1
M02810:197:000000000-AV55U:1:1103:15597:23240	cid|562	562	12402	0	150	151	1
M02810:197:000000000-AV55U:1:1103:16827:1509	cid|1747	1747	18496	0	151	151	1
